ccaa;ccaa_2;nacionalidad;anio;edad_media;ind_fecundidad
Total Nacional;Nacional;ambas;2020;32.32;1.18
Total Nacional;Nacional;ambas;2019;32.25;1.24
Total Nacional;Nacional;ambas;2018;32.2;1.26
Total Nacional;Nacional;ambas;2017;32.08;1.31
Total Nacional;Nacional;ambas;2016;32;1.34
Total Nacional;Nacional;ambas;2015;31.9;1.33
Total Nacional;Nacional;ambas;2014;31.78;1.32
Total Nacional;Nacional;ambas;2013;31.66;1.27
Total Nacional;Nacional;ambas;2012;31.56;1.32
Total Nacional;Nacional;ambas;2011;31.44;1.34
Total Nacional;Nacional;ambas;2010;31.2;1.37
Total Nacional;Nacional;ambas;2009;31.04;1.38
Total Nacional;Nacional;ambas;2008;30.83;1.44
Total Nacional;Nacional;ambas;2007;30.85;1.38
Total Nacional;Nacional;ambas;2006;30.9;1.36
Total Nacional;Nacional;ambas;2005;30.92;1.33
Total Nacional;Nacional;ambas;2004;30.87;1.32
Total Nacional;Nacional;ambas;2003;30.85;1.3
Total Nacional;Nacional;ambas;2002;30.8;1.25
Total Nacional;Nacional;ambas;2001;30.77;1.24
Total Nacional;Nacional;ambas;2000;30.74;1.21
Total Nacional;Nacional;ambas;1999;30.68;1.16
Total Nacional;Nacional;ambas;1998;30.56;1.13
Total Nacional;Nacional;ambas;1997;30.4;1.15
Total Nacional;Nacional;ambas;1996;30.21;1.14
Total Nacional;Nacional;ambas;1995;29.98;1.16
Total Nacional;Nacional;ambas;1994;29.74;1.19
Total Nacional;Nacional;ambas;1993;29.47;1.26
Total Nacional;Nacional;ambas;1992;29.26;1.31
Total Nacional;Nacional;ambas;1991;29.04;1.33
Total Nacional;Nacional;ambas;1990;28.86;1.36
Total Nacional;Nacional;ambas;1989;28.72;1.4
Total Nacional;Nacional;ambas;1988;28.58;1.45
Total Nacional;Nacional;ambas;1987;28.57;1.49
Total Nacional;Nacional;ambas;1986;28.54;1.55
Total Nacional;Nacional;ambas;1985;28.46;1.64
Total Nacional;Nacional;ambas;1984;28.43;1.72
Total Nacional;Nacional;ambas;1983;28.38;1.8
Total Nacional;Nacional;ambas;1982;28.33;1.94
Total Nacional;Nacional;ambas;1981;28.23;2.04
Total Nacional;Nacional;ambas;1980;28.2;2.21
Total Nacional;Nacional;ambas;1979;28.24;2.37
Total Nacional;Nacional;ambas;1978;28.36;2.54
Total Nacional;Nacional;ambas;1977;28.45;2.65
Total Nacional;Nacional;ambas;1976;28.55;2.77
