ccaa;ccaa_2;nacionalidad;anio;edad_media_primer_hijo;ind_fecundidad
Total Nacional;Nacional;ambas;2020;31.22;1.18
Total Nacional;Nacional;ambas;2019;31.1;1.24
Total Nacional;Nacional;ambas;2018;31.02;1.26
Total Nacional;Nacional;ambas;2017;30.9;1.31
Total Nacional;Nacional;ambas;2016;30.8;1.34
Total Nacional;Nacional;ambas;2015;30.69;1.33
Total Nacional;Nacional;ambas;2014;30.55;1.32
Total Nacional;Nacional;ambas;2013;30.42;1.27
Total Nacional;Nacional;ambas;2012;30.25;1.32
Total Nacional;Nacional;ambas;2011;30.11;1.34
Total Nacional;Nacional;ambas;2010;29.82;1.37
Total Nacional;Nacional;ambas;2009;29.6;1.38
Total Nacional;Nacional;ambas;2008;29.3;1.44
Total Nacional;Nacional;ambas;2007;29.45;1.38
Total Nacional;Nacional;ambas;2006;29.39;1.36
Total Nacional;Nacional;ambas;2005;29.4;1.33
Total Nacional;Nacional;ambas;2004;29.36;1.32
Total Nacional;Nacional;ambas;2003;29.31;1.3
Total Nacional;Nacional;ambas;2002;29.25;1.25
Total Nacional;Nacional;ambas;2001;29.17;1.24
Total Nacional;Nacional;ambas;2000;29.14;1.21
Total Nacional;Nacional;ambas;1999;29.03;1.16
Total Nacional;Nacional;ambas;1998;28.92;1.13
Total Nacional;Nacional;ambas;1997;28.73;1.15
Total Nacional;Nacional;ambas;1996;28.49;1.14
Total Nacional;Nacional;ambas;1995;28.41;1.16
Total Nacional;Nacional;ambas;1994;28.12;1.19
Total Nacional;Nacional;ambas;1993;27.81;1.26
Total Nacional;Nacional;ambas;1992;27.5;1.31
Total Nacional;Nacional;ambas;1991;27.16;1.33
Total Nacional;Nacional;ambas;1990;26.81;1.36
Total Nacional;Nacional;ambas;1989;26.56;1.4
Total Nacional;Nacional;ambas;1988;26.25;1.45
Total Nacional;Nacional;ambas;1987;26.14;1.49
Total Nacional;Nacional;ambas;1986;25.9;1.55
Total Nacional;Nacional;ambas;1985;25.79;1.64
Total Nacional;Nacional;ambas;1984;25.66;1.72
Total Nacional;Nacional;ambas;1983;25.52;1.8
Total Nacional;Nacional;ambas;1982;25.43;1.94
Total Nacional;Nacional;ambas;1981;25.25;2.04
Total Nacional;Nacional;ambas;1980;25.06;2.21
Total Nacional;Nacional;ambas;1979;24.78;2.37
Total Nacional;Nacional;ambas;1978;24.8;2.54
Total Nacional;Nacional;ambas;1977;24.85;2.65
Total Nacional;Nacional;ambas;1976;24.94;2.77
Total Nacional;Nacional;ambas;1975;25.25;2.77
Total Nacional;Nacional;espanola;2020;31.81;1.12
Total Nacional;Nacional;espanola;2019;31.7;1.17
Total Nacional;Nacional;espanola;2018;31.61;1.2
Total Nacional;Nacional;espanola;2017;31.47;1.25
Total Nacional;Nacional;espanola;2016;31.34;1.28
Total Nacional;Nacional;espanola;2015;31.22;1.28
Total Nacional;Nacional;espanola;2014;31.08;1.27
Total Nacional;Nacional;espanola;2013;31;1.23
Total Nacional;Nacional;espanola;2012;30.89;1.27
Total Nacional;Nacional;espanola;2011;30.76;1.29
Total Nacional;Nacional;espanola;2010;30.53;1.3
Total Nacional;Nacional;espanola;2009;30.35;1.31
Total Nacional;Nacional;espanola;2008;30.11;1.36
Total Nacional;Nacional;espanola;2007;30.15;1.31
Total Nacional;Nacional;espanola;2006;29.98;1.31
Total Nacional;Nacional;espanola;2005;29.94;1.28
Total Nacional;Nacional;espanola;2004;29.83;1.27
Total Nacional;Nacional;espanola;2003;29.72;1.25
Total Nacional;Nacional;espanola;2002;29.59;1.21
Total Nacional;Nacional;espanola;2001;;
Total Nacional;Nacional;espanola;2000;;
Total Nacional;Nacional;espanola;1999;;
Total Nacional;Nacional;espanola;1998;;
Total Nacional;Nacional;espanola;1997;;
Total Nacional;Nacional;espanola;1996;;
Total Nacional;Nacional;espanola;1995;;
Total Nacional;Nacional;espanola;1994;;
Total Nacional;Nacional;espanola;1993;;
Total Nacional;Nacional;espanola;1992;;
Total Nacional;Nacional;espanola;1991;;
